Key,English

r13BluntAtt, "Blunt"
r13BluntAttName, "Blunt Weapons"
r13BluntAttDesc, "Skill at using blunted weapons"
r13BladeAtt, "Blade"
r13BladeAttName, "Bladed Weapons"
r13BladeAttDesc, "Skill at using bladed weapons"
r13PierceAtt, "Pierce"
r13PierceAttName, "Piercing Weapons"
r13PierceAttDesc, "Skill at using piercing weapons"

r13ClubSkill, "Club"
r13ClubSkillName, "Clubs"
r13ClubSkillDesc, "Experience with one-handed clubs"
r13SledgeSkill, "Sledge"
r13SledgeSkillName, "Sledgehammers"
r13SledgeSkillDesc, "Experience with two-handed sledgehammers"
r13BatonSkill, "Baton"
r13BatonSkillName, "Batons"
r13BatonSkillDesc, "Experience with batons"
r13FistSkill, "Fist"
r13FistSkillName, "Fists"
r13FistSkillDesc, "Experience with bare hands"

r13ClubMasterSkill, "Club Master"
r13ClubMasterSkillName, "Master of Clubs"
r13ClubMasterSkillDesc, "Proficiency with clubs"
r13ClubMasterSkillRank1Desc, "r13ClubMasterSkillRank1Desc"
r13ClubMasterSkillRank1LongDesc, "r13ClubMasterSkillRank1LongDesc"
r13ClubMasterSkillRankDesc, "r13ClubMasterSkillRankDesc"
r13ClubMasterSkillRankLongDesc, "r13ClubMasterSkillRankLongDesc"

r13ClubT0Skill, "T0 Club"
r13ClubT0SkillName, "Stone Clubs"
r13ClubT0SkillDesc, "Proficiency with stone clubs"
r13ClubT0SkillRank1Desc, "r13ClubT0SkillRank1Desc"
r13ClubT0SkillRank1LongDesc, "r13ClubT0SkillRank1LongDesc"
r13ClubT0SkillRankDesc, "r13ClubT0SkillRankDesc"
r13ClubT0SkillRankLongDesc, "r13ClubT0SkillRankLongDesc"

r13ClubT1Skill, "T1 Club"
r13ClubT1SkillName, "Iron Clubs"
r13ClubT1SkillDesc, "Proficiency with iron clubs"
r13ClubT1SkillRank1Desc, "r13ClubT1SkillRank1Desc"
r13ClubT1SkillRank1LongDesc, "r13ClubT1SkillRank1LongDesc"
r13ClubT1SkillRankDesc, "r13ClubT1SkillRankDesc"
r13ClubT1SkillRankLongDesc, "r13ClubT1SkillRankLongDesc"

r13ClubT2Skill, "T2 Club"
r13ClubT2SkillName, "Steel Clubs"
r13ClubT2SkillDesc, "Proficiency with steel clubs"
r13ClubT2SkillRank1Desc, "r13ClubT2SkillRank1Desc"
r13ClubT2SkillRank1LongDesc, "r13ClubT2SkillRank1LongDesc"
r13ClubT2SkillRankDesc, "r13ClubT2SkillRankDesc"
r13ClubT2SkillRankLongDesc, "r13ClubT2SkillRankLongDesc"

r13ClubT3Skill, "T3 Club"
r13ClubT3SkillName, "T3 Clubs"
r13ClubT3SkillDesc, "Proficiency with T3 clubs"
r13ClubT3SkillRank1Desc, "r13ClubT3SkillRank1Desc"
r13ClubT3SkillRank1LongDesc, "r13ClubT3SkillRank1LongDesc"
r13ClubT3SkillRankDesc, "r13ClubT3SkillRankDesc"
r13ClubT3SkillRankLongDesc, "r13ClubT3SkillRankLongDesc"
